"Story","Title","Result","Date","Stability","Duration (s)"
"Compra de Arma tu paquete","Compra de Arma tu Paquete","ERROR","2021-09-09T17:27:42.11-05:00[America/Bogota]","0.0","20.49"
"Compra de paquetes web","Compra de paquetes web","SUCCESS","2021-09-09T17:28:04.803-05:00[America/Bogota]","0.0","6.05"
